,,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,OTHER,,,,TOTAL,,,
,,,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price
Year,State,Data Status,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
2018,AK,Final,"433,247","1,974,906","287,523",21.94,"491,609","2,646,058","53,954",18.58,"231,156","1,351,503","1,386",17.10,0,0,0,,,,,,"1,156,012","5,972,467","342,864",19.36
2018,AL,Final,"4,027,603","33,080,380","2,229,470",12.18,"2,639,244","23,483,072","371,096",11.24,"2,027,940","33,722,093","7,344",6.01,0,0,0,,,,,,"8,694,787","90,285,545","2,607,910",9.63
2018,AR,Final,"1,888,657","19,259,204","1,388,359",9.81,"951,473","12,278,279","196,482",7.75,"1,018,825","18,064,787","36,597",5.64,50,438,2,11.35,,,,,"3,859,004","49,602,708","1,621,441",7.78
2018,AZ,Final,"4,425,192","34,660,297","2,808,351",12.77,"3,158,290","29,683,550","322,133",10.64,"916,272","13,994,441","7,790",6.55,803,"8,014",2,10.02,,,,,"8,500,556","78,346,302","3,138,275",10.85
2018,CA,Final,"16,782,222","89,099,985","13,591,149",18.84,"18,924,312","115,786,492","1,714,872",16.34,"6,561,108","49,713,251","148,740",13.20,"64,821","749,882",12,8.64,,,,,"42,332,462","255,349,610","15,454,773",16.58
2018,CO,Final,"2,342,778","19,286,952","2,326,974",12.15,"2,105,709","21,023,300","376,101",10.02,"1,198,532","16,047,258","15,981",7.47,"8,371","92,970",1,9.00,,,,,"5,655,389","56,450,480","2,719,057",10.02
2018,CT,Final,"2,769,009","13,061,372","1,503,701",21.20,"2,074,985","12,381,063","153,825",16.76,"441,996","3,209,992","4,308",13.77,"23,296","181,498",4,12.84,,,,,"5,309,285","28,833,925","1,661,837",18.41
2018,DC,Final,"332,869","2,592,242","274,613",12.84,"985,752","8,236,225","26,336",11.97,"15,982","192,662",1,8.30,"32,125","336,781",3,9.54,,,,,"1,366,729","11,357,910","300,953",12.03
2018,DE,Final,"635,362","5,070,175","432,449",12.53,"419,179","4,342,340","54,905",9.65,"187,698","2,360,585",837,7.95,0,0,0,,,,,,"1,242,239","11,773,100","488,191",10.55
2018,FL,Final,"14,485,280","125,528,047","9,423,019",11.54,"8,845,109","96,265,276","1,229,556",9.19,"1,312,157","17,116,827","21,373",7.67,"6,854","82,939",2,8.26,,,,,"24,649,399","238,993,089","10,673,951",10.31
