,,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,OTHER,,,,TOTAL,,,
,,,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price
Year,State,Data Status,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
2020,PA,Preliminary,"7,483,759","55,191,857","5,462,995",13.56,"3,008,508","35,378,031","722,448",8.5,"2,951,633","48,098,841","14,831",6.14,"35,387","425,435",5,8.32,,,,,"13,479,288","139,094,165","6,200,279",9.69
2020,RI,Preliminary,"692,613","3,147,459","441,572",22.01,"561,103","3,517,909","60,054",15.95,"100,008","634,583","1,692",15.76,"3,837","17,566",1,21.84,,,,,"1,357,562","7,317,518","503,320",18.55
2020,SC,Preliminary,"3,913,196","31,223,158","2,388,332",12.53,"2,097,601","20,487,684","377,190",10.24,"1,461,777","25,054,018","4,195",5.83,0,0,0,,,,,,"7,472,574","76,764,859","2,769,717",9.73
2020,SD,Preliminary,"585,024","4,955,062","412,254",11.81,"456,834","4,777,504","75,978",9.56,"216,945","2,764,955","3,124",7.85,0,0,0,,,,,,"1,258,802","12,497,522","491,356",10.07
2020,TN,Preliminary,"4,527,162","42,069,585","3,008,806",10.76,"3,585,178","34,107,676","506,987",10.51,"986,055","18,419,005",876,5.35,0,0,0,,,,,,"9,098,396","94,596,266","3,516,669",9.62
2020,TX,Preliminary,"18,400,326","153,903,997","11,301,394",11.96,"10,623,236","137,254,425","1,460,952",7.74,"6,097,030","118,034,659","268,682",5.17,"11,315","173,665",3,6.52,,,,,"35,131,906","409,366,745","13,031,031",8.58
2020,UT,Preliminary,"1,094,712","10,317,572","1,119,916",10.61,"941,605","11,186,090","127,717",8.42,"560,536","9,529,800","10,638",5.88,"5,263","49,213",1,10.69,,,,,"2,602,116","31,082,675","1,258,273",8.37
2020,VA,Preliminary,"5,588,036","46,227,620","3,524,408",12.09,"4,116,403","53,477,174","436,396",7.7,"1,017,993","15,715,767","3,786",6.48,"14,431","164,460",1,8.77,,,,,"10,736,863","115,585,021","3,964,591",9.29
2020,VT,Preliminary,"417,940","2,146,963","318,188",19.47,"297,436","1,812,680","59,422",16.41,"146,632","1,335,332",141,10.98,0,0,0,,,,,,"862,008","5,294,975","377,752",16.28
2020,WA,Preliminary,"3,581,486","36,771,592","3,154,965",9.74,"2,423,762","27,197,316","404,814",8.91,"1,084,815","21,166,904","29,026",5.13,"9,701","97,666",5,9.93,,,,,"7,099,763","85,233,478","3,588,811",8.33
2020,WI,Preliminary,"3,390,289","22,907,688","2,769,072",14.8,"2,466,600","22,316,270","363,511",11.05,"1,721,696","22,318,973","4,939",7.71,141,963,2,14.65,,,,,"7,578,726","67,543,894","3,137,524",11.22
2020,WV,Preliminary,"1,284,048","10,876,822","862,198",11.81,"652,525","6,946,648","146,644",9.39,"868,701","14,254,272","11,357",6.09,0,0,0,,,,,,"2,805,274","32,077,742","1,020,199",8.75
2020,WY,Preliminary,"321,233","2,872,048","279,263",11.18,"331,046","3,409,089","59,105",9.71,"619,324","9,049,283","10,017",6.84,0,0,0,,,,,,"1,271,604","15,330,419","348,385",8.29
